short999fct short99fct short95fct shortavgfct shortmedfct incast999fct incast99fct incast95fct incastavgfct incastmedfct long999fct long99fct long95fct longavgfct longmedfct avgTh medTh bufmax buf999 buf99 buf95 avgBuf medBuf load burst alg tcp scenario nprio
357.491 135.523 19.119 11.396967569444444 5.198175 9210.37 7480.6 5260.17 1090.1408863502604 5.444240000000001 0 0 0 0 0 79.75149887765156 84.336 57.9531 50.7998 42.6643 34.6457 12.11978919597692 9.27464 0.8 0.3 104 1 bufrate_1 2
312.643 129.878 16.8632 9.754420647405029 4.96695 8837.05 8145.18 6030.79 1113.1533517449714 5.663600000000001 0 0 0 0 0 83.94671874039881 89.296 50.287 48.8449 42.5741 33.8867 12.638063726793536 10.0351 0.8 0.3 104 1 bufrate_2 2
247.061 127.896 17.4508 9.45356408663883 4.97653 8887.01 7768.58 5754.88 1093.9726931872171 5.93567 0 0 0 0 0 84.51565312834657 88.8587 50.4273 49.825 45.0602 35.7639 12.188258436358726 9.22897 0.8 0.3 104 1 bufrate_5 2
11.7782 9.77378 7.05418 2.7896212500000006 1.82704 8547.39 7609.88 5013.13 914.9880320625001 4.55151 0 0 0 0 0 37.33370320616212 48.4 48.5835 33.0187 28.4867 20.3098 3.5122565522772455 0.0 0.4 0.3 110 1 bufrate_1 2
11.4791 8.25138 6.12679 2.546875876623377 1.68595 8656.64 7879.76 6480.07 1263.214898895444 4.55836 0 0 0 0 0 37.42233697217744 48.128 40.8212 32.6847 28.8104 22.099 3.8081879840046797 0.0 0.4 0.3 110 1 bufrate_2 2
12.5443 8.56806 6.38826 2.8314291958762885 2.1558200000000003 8958.41 7866.29 5684.99 1041.23554561975 4.55588 0 0 0 0 0 38.78447328122162 48.2027 39.6346 32.9378 26.1224 16.8331 2.698986685293706 0.0 0.4 0.3 110 1 bufrate_5 2
13.5857 12.2786 8.74243 3.9129457313642755 2.9900700000000002 8107.25 6436.88 4805.78 713.0776801578126 4.5427 0 0 0 0 0 66.07960956699335 64.7253 52.7651 33.1805 32.1307 26.0489 8.720718607543951 6.3133 0.6 0.3 110 1 bufrate_1 2
18.0078 13.6529 9.08115 4.125618951098512 3.3748 8471.82 7401.36 5346.33 891.2701933364361 4.63524 0 0 0 0 0 66.09088511872237 59.5413 49.8837 33.2615 29.9235 24.0357 7.826854111871238 5.42219 0.6 0.3 110 1 bufrate_2 2
25.6651 14.9323 8.48279 3.9694202795248072 2.99541 8750.72 7790.35 6055.25 1171.5085558641304 4.998810000000001 0 0 0 0 0 66.9820461451109 66.048 56.0484 33.3944 29.3769 23.7246 7.597266265971519 4.94295 0.6 0.3 110 1 bufrate_5 2
25.1421 20.3886 15.3677 6.39597202991453 5.300974999999999 9183.62 7482.72 5259.99 1075.4654724088543 5.23067 0 0 0 0 0 80.28581214791694 83.6693 46.7219 33.5517 32.6951 31.0398 15.448621307752955 16.6499 0.8 0.3 110 1 bufrate_1 2
17.416 14.9905 11.4056 5.316351920813268 4.82486 8837.13 8120.33 6029.46 1094.0639848987068 5.33264 0 0 0 0 0 84.0135519449229 88.72 58.001 36.7758 31.6741 27.2909 12.326302602734655 12.2889 0.8 0.3 110 1 bufrate_2 2
24.6861 16.2708 11.7242 5.41329231210856 4.862215 8888.8 7767.83 5756.81 1077.3658354601243 5.38829 0 0 0 0 0 84.78943555060101 88.704 50.8726 40.5237 31.7379 26.5539 11.280045553259466 10.5066 0.8 0.3 110 1 bufrate_5 2
